sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,25964,36,25,54,2,947,0.371360345093206,291.74017101700053,565.9867748351068,57.10638733769901
TOTAL,25964,36,25,54,2,947,0.371360345093206,291.74017101700053,565.9867748351068,57.10638733769901
