sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,25964,36,2,947,54,57.10638733769901,0.371360345093206,291.74017101700053,565.9867748351068,1986.5980588507164
TOTAL,25964,36,2,947,54,57.10638733769901,0.371360345093206,291.74017101700053,565.9867748351068,1986.5980588507164
