sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,8254,19,16,35,2,803,0.0,266.2323000999903,432.88748014305065,30.602775902608382
TOTAL,8254,19,16,35,2,803,0.0,266.2323000999903,432.88748014305065,30.602775902608382
