sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,58842,13617,12581,24775,1,121260,0.8200265116753339,417.5205063434848,1001.9862956403621,15640.295969370673
TOTAL,58842,13617,12581,24775,1,121260,0.8200265116753339,417.5205063434848,1001.9862956403621,15640.295969370673
